"date","median_p","mean_p","year","month"
2012-01-01,1.01582217216492,0.907916787810591,"2012","01"
2012-02-01,0.934770494699478,0.884753861366848,"2012","02"
2012-03-01,1.00015461444855,0.94114528357414,"2012","03"
2012-04-01,1.10887271165848,1.06923254731099,"2012","04"
2012-05-01,0.949180513620377,0.914711325339639,"2012","05"
2012-06-01,0.841251760721207,0.862745759074703,"2012","06"
2012-07-01,0.634726315736771,0.739079521693554,"2012","07"
2012-08-01,0.467843443155289,0.696737694869151,"2012","08"
2012-09-01,0.664774596691132,0.785248245028094,"2012","09"
2012-10-01,0.902861416339874,0.935350564111487,"2012","10"
2012-11-01,1.11201304197311,1.04134279373842,"2012","11"
2012-12-01,1.18424808979034,1.09762748472537,"2012","12"
2013-01-01,1.01922971010208,1.02575491518815,"2013","01"
2013-02-01,1.10897600650787,1.05078396359936,"2013","02"
2013-03-01,1.22005987167358,1.10817858018531,"2013","03"
2013-04-01,1.0490590929985,1.01782916149158,"2013","04"
2013-05-01,1.06863582134247,1.00401518788765,"2013","05"
2013-06-01,1.01512283086777,0.993143583900406,"2013","06"
2013-07-01,0.728559017181396,0.800781261939143,"2013","07"
2013-08-01,0.638218492269516,0.76584435569857,"2013","08"
2013-09-01,0.877237677574158,0.94636334159639,"2013","09"
2013-10-01,0.985125154256821,0.975787664239302,"2013","10"
2013-11-01,1.16111671924591,1.00463752016091,"2013","11"
2013-12-01,1.16260242462158,1.07412278001408,"2013","12"
2014-01-01,1.00405931472778,0.948572249961618,"2014","01"
2014-02-01,1.03582376241684,0.965017859221726,"2014","02"
2014-03-01,1.10263806581497,1.03974760229349,"2014","03"
2014-04-01,1.1213310956955,1.07681884365843,"2014","04"
2014-05-01,1.01099634170532,0.966246096627838,"2014","05"
2014-06-01,0.882234841585159,0.90086880478491,"2014","06"
2014-07-01,0.731281012296677,0.79719403530213,"2014","07"
2014-08-01,0.642959177494049,0.771520095835472,"2014","08"
2014-09-01,0.893823146820068,0.976750521739627,"2014","09"
2014-10-01,0.982542484998703,0.978390909394885,"2014","10"
2014-11-01,1.14831560850143,1.04990482445214,"2014","11"
2014-12-01,1.0914306640625,1.00410837154814,"2014","12"
2015-01-01,1.05218398571014,0.990596878409665,"2015","01"
2015-02-01,1.04277974367142,1.0371762136182,"2015","02"
2015-03-01,1.17900794744492,1.08906274831446,"2015","03"
2015-04-01,1.18919062614441,1.12621376019035,"2015","04"
2015-05-01,1.09821456670761,1.01215981464202,"2015","05"
2015-06-01,0.930205553770065,0.928882474778574,"2015","06"
2015-07-01,0.813803523778915,0.857674205162897,"2015","07"
2015-08-01,0.647048354148865,0.782333597470445,"2015","08"
2015-09-01,0.692483305931091,0.864725017657298,"2015","09"
2015-10-01,0.873048603534698,0.911850180914379,"2015","10"
2015-11-01,1.12028336524963,1.09298262509686,"2015","11"
2015-12-01,1.07894593477249,1.0738829231288,"2015","12"
2016-01-01,1.03620409965515,1.12265602022475,"2016","01"
2016-02-01,1.34407240152359,1.24120405012277,"2016","02"
2016-03-01,1.38693118095398,1.25751774248564,"2016","03"
2016-04-01,1.25722593069077,1.17519207024023,"2016","04"
2016-05-01,1.08682405948639,1.08530220232837,"2016","05"
2016-06-01,0.885562181472778,0.87795382946827,"2016","06"
2016-07-01,0.634144335985184,0.752816181712423,"2016","07"
2016-08-01,0.629932254552841,0.814314091743998,"2016","08"
2016-09-01,0.909447282552719,0.973710522545572,"2016","09"
2016-10-01,1.13556057214737,1.06168440990029,"2016","10"
2016-11-01,1.14807438850403,1.07032125756739,"2016","11"
2016-12-01,1.31044340133667,1.15687560508881,"2016","12"
2017-01-01,1.13363951444626,1.07806323496117,"2017","01"
2017-02-01,1.12915378808975,1.09227277658476,"2017","02"
2017-03-01,1.20613157749176,1.17831201448937,"2017","03"
2017-04-01,1.2230259180069,1.1426711505464,"2017","04"
2017-05-01,1.27036529779434,1.16418778710456,"2017","05"
2017-06-01,0.861834466457367,0.89839405047638,"2017","06"
2017-07-01,0.470704808831215,0.680190127112633,"2017","07"
